PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-3.734,-232.196,284.493,0,0,0,0
10002,0,0,-3.681,-231.363,282.424,0,0,0,0
10003,0,0,-3.619,-230.244,279.649,0,0,0,0
10004,0,0,-3.62,-228.945,276.945,0,0,0,0
10005,0,0,-3.625,-227.65,274.251,0,0,0,0
10006,0,0,-4.077,-226.062,271.037,0,0,0,0
10007,0,0,-4.077,-224.743,268.365,0,0,0,0
10008,0,0,-4.077,-223.105,265.317,0,0,0,0
10009,0,0,-4.077,-221.692,262.696,0,0,0,0
10010,0,0,-4.077,-220.689,260.834,0,0,0,0
10011,0,0,-4.096,-219.27,258.202,0,0,0,0
10012,0,0,-4.1259999999999994,-217.709,255.367,0,0,0,0
10013,0,0,-4.140000000000001,-216.261,252.735,0,0,0,0
10014,0,0,-4.165,-215.455,251.394,0,0,0,0
10015,0,0,-4.1899999999999995,-214.82,250.316,0,0,0,0
10016,0,0,-4.207,-213.905,248.687,0,0,0,0
10017,0,0,-4.218,-213.409,247.805,0,0,0,0
10018,0,0,-4.229,-212.913,246.924,0,0,0,0
10019,0,0,-4.24,-212.417,246.043,0,0,0,0
10020,0,0,-4.2509999999999994,-211.921,245.161,0,0,0,0
10021,0,0,-4.2620000000000005,-211.425,244.28,0,0,0,0
10022,0,0,-4.273,-210.929,243.399,0,0,0,0
10023,0,0,-4.284,-210.433,242.517,0,0,0,0
10024,0,0,-4.2940000000000005,-209.938,241.636,0,0,0,0
10025,0,0,-4.305,-209.442,240.755,0,0,0,0
10026,0,0,-4.316,-208.946,239.874,0,0,0,0
10027,0,0,-4.327,-208.45,238.992,0,0,0,0
10028,0,0,-4.338,-207.954,238.111,0,0,0,0
10029,0,0,-4.349,-207.458,237.23,0,0,0,0
10030,0,0,-4.359999999999999,-206.962,236.348,0,0,0,0
10031,0,0,-4.371,-206.467,235.467,0,0,0,0
10032,0,0,-4.382,-205.971,234.586,0,0,0,0
10033,0,0,-4.393,-205.475,233.704,0,0,0,0
