DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10080,79,10080,2.629086809330791,0,75059993789508.27,0,0,2,2
10081,80,10081,2.6290868093307775,0,-75059993789508.27,0,0,2,2
10082,81,10082,2.6290868093307775,0,90000000000,0,0,2,2
10083,82,10083,2.629086809330791,0,75059993789508.27,0,0,2,2
10084,83,10084,2.629086809330791,0,90000000000,0,0,2,2
10085,84,10085,2.6290868093307775,0,-75059993789508.27,0,0,2,2
10086,85,10086,2.6290868093307775,0,90000000000,0,0,2,2
10087,86,10087,2.629086809330791,0,75059993789508.27,0,0,2,2
10088,87,10088,2.6290868093307775,0,-75059993789508.27,0,0,2,2
10089,88,10089,2.629086809330791,0,75059993789508.27,0,0,2,2
10090,89,10090,2.6290868093307775,0,-75059993789508.27,0,0,2,2
10091,90,10091,2.6290868093307775,0,90000000000,0,0,2,2
10092,91,10092,2.629086809330791,0,75059993789508.27,0,0,2,2
10093,92,10093,2.629086809330791,0,90000000000,0,0,2,2
10094,93,10094,2.6290868093307775,0,-75059993789508.27,0,0,2,2
10095,94,10095,2.6290868093307775,0,90000000000,0,0,2,2
10096,95,10096,2.6290868093307775,0,90000000000,0,0,2,2
10097,96,10097,2.629086809330791,0,75059993789508.27,0,0,2,2
10098,97,10098,2.592276796367379,0,-27.16652126675362,0,0,2,2
10099,98,10099,2.6330533500317514,0,24.523896948989357,0,0,2,2
10100,99,10100,2.6130061985595914,0,-49.882398573618914,0,0,2,2
10101,100,10101,2.6298259540800673,0,59.45389626993266,0,0,2,2
10102,101,10102,2.6298259540800673,0,90000000000,0,0,2,2
10103,102,10103,2.6298259540800917,0,40941814794277.234,0,0,2,2
10104,103,10104,2.6298259540800673,0,-40941814794277.234,0,0,2,2
10105,104,10105,2.6298259540800673,0,90000000000,0,0,2,2
10106,105,10106,2.6298259540800673,0,90000000000,0,0,2,2
10107,106,10107,2.6298259540800673,0,90000000000,0,0,2,2
10108,107,10108,2.6298259540800917,0,40941814794277.234,0,0,2,2
10109,108,10109,2.6298259540800673,0,-40941814794277.234,0,0,2,2
10110,109,10110,2.6298259540800673,0,90000000000,0,0,2,2
10111,110,10111,2.6298259540800673,0,90000000000,0,0,2,2
10112,111,10112,2.6298259540800673,0,90000000000,0,0,2,2
10113,112,10113,2.6298259540800673,0,90000000000,0,0,2,2
10114,113,10114,2.6298259540800917,0,40941814794277.234,0,0,2,2
10115,114,10115,2.6298259540800673,0,-40941814794277.234,0,0,2,2
10116,115,10116,2.6298259540800673,0,90000000000,0,0,2,2
10117,116,10117,2.6298259540800673,0,90000000000,0,0,2,2
10118,117,10118,2.6298259540800673,0,90000000000,0,0,2,2
10119,118,10119,2.6298259540800917,0,40941814794277.234,0,0,2,2
10120,119,10120,2.6298259540800673,0,-40941814794277.234,0,0,2,2
10121,120,10121,2.6298259540800673,0,90000000000,0,0,2,2
10122,121,10122,2.6298259540800673,0,90000000000,0,0,2,2
10123,122,10123,2.6298259540800673,0,90000000000,0,0,2,2
10124,123,10124,2.6298259540800917,0,40941814794277.234,0,0,2,2
10125,124,10125,2.6298259540800673,0,-40941814794277.234,0,0,2,2
10126,125,10126,2.6298259540800673,0,90000000000,0,0,2,2
10127,126,10127,2.662172172476591,0,30.915514999041232,0,0,2,2
10128,127,10128,2.6407598122145943,0,-46.70199771366734,0,0,2,2
10129,128,10129,2.6608603760108878,0,49.74984831939893,0,0,2,2
10130,129,10130,2.631045320602138,0,-33.54010201525679,0,0,2,2
10131,130,10131,2.6284864011331397,0,-390.78994556692373,0,0,2,2
10132,131,10132,2.628486401133164,0,40941814794277.234,0,0,2,2
10133,132,10133,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10134,133,10134,2.628486401133164,0,40941814794277.234,0,0,2,2
10135,134,10135,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10136,135,10136,2.6284864011331504,0,93824992236885.33,0,0,2,2
10137,136,10137,2.6284864011331397,0,-93824992236885.33,0,0,2,2
10138,137,10138,2.628486401133164,0,40941814794277.234,0,0,2,2
10139,138,10139,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10140,139,10140,2.6284864011331397,0,90000000000,0,0,2,2
10141,140,10141,2.628486401133164,0,40941814794277.234,0,0,2,2
10142,141,10142,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10143,142,10143,2.628486401133164,0,40941814794277.234,0,0,2,2
10144,143,10144,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10145,144,10145,2.628486401133164,0,40941814794277.234,0,0,2,2
10146,145,10146,2.6284864011331255,0,-25882756479140.78,0,0,2,2
10147,146,10147,2.628486401133164,0,25882756479140.78,0,0,2,2
10148,147,10148,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10149,148,10149,2.628486401133164,0,40941814794277.234,0,0,2,2
10150,149,10150,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10151,150,10151,2.6284864011331397,0,90000000000,0,0,2,2
10152,151,10152,2.628486401133164,0,40941814794277.234,0,0,2,2
10153,152,10153,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10154,153,10154,2.628486401133164,0,40941814794277.234,0,0,2,2
10155,154,10155,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10156,155,10156,2.628486401133164,0,31715490333595.043,0,0,2,2
10157,156,10157,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10158,157,10158,2.628486401133164,0,40941814794277.234,0,0,2,2
10159,158,10159,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10160,159,10160,2.6284864011331397,0,140737488355328.0,0,0,2,2
10161,160,10161,2.628486401133164,0,40941814794277.234,0,0,2,2
10162,161,10162,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10163,162,10163,2.628486401133164,0,40941814794277.234,0,0,2,2
10164,163,10164,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10165,164,10165,2.628486401133164,0,40941814794277.234,0,0,2,2
10166,165,10166,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10167,166,10167,2.628486401133164,0,31715490333595.043,0,0,2,2
