PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-10.34,-232.196,284.493,0,0,0,0
10002,0,0,-10.337,-231.363,282.424,0,0,0,0
10003,0,0,-10.336,-230.244,279.649,0,0,0,0
10004,0,0,-10.346,-228.945,276.945,0,0,0,0
10005,0,0,-10.359,-227.65,274.251,0,0,0,0
10006,0,0,-10.381,-226.062,271.037,0,0,0,0
10007,0,0,-10.401,-224.743,268.365,0,0,0,0
10008,0,0,-10.43,-223.105,265.317,0,0,0,0
10009,0,0,-10.458,-221.692,262.696,0,0,0,0
10010,0,0,-10.465,-220.689,260.834,0,0,0,0
10011,0,0,-10.478,-219.27,258.202,0,0,0,0
10012,0,0,-10.442,-217.709,255.367,0,0,0,0
10013,0,0,-10.41,-216.261,252.735,0,0,0,0
10014,0,0,-10.421,-215.455,251.394,0,0,0,0
10015,0,0,-10.434000000000001,-214.82,250.316,0,0,0,0
10016,0,0,-10.442,-213.905,248.687,0,0,0,0
10017,0,0,-10.451,-213.409,247.805,0,0,0,0
10018,0,0,-10.461,-212.913,246.924,0,0,0,0
10019,0,0,-10.471,-212.417,246.043,0,0,0,0
10020,0,0,-10.48,-211.921,245.161,0,0,0,0
10021,0,0,-10.49,-211.425,244.28,0,0,0,0
10022,0,0,-10.5,-210.929,243.399,0,0,0,0
10023,0,0,-10.51,-210.433,242.517,0,0,0,0
10024,0,0,-10.519,-209.938,241.636,0,0,0,0
10025,0,0,-10.529,-209.442,240.755,0,0,0,0
10026,0,0,-10.539,-208.946,239.874,0,0,0,0
10027,0,0,-10.548,-208.45,238.992,0,0,0,0
10028,0,0,-10.558,-207.954,238.111,0,0,0,0
10029,0,0,-10.568,-207.458,237.23,0,0,0,0
10030,0,0,-10.578,-206.962,236.348,0,0,0,0
10031,0,0,-10.587,-206.467,235.467,0,0,0,0
10032,0,0,-10.597000000000001,-205.971,234.586,0,0,0,0
10033,0,0,-10.607,-205.475,233.704,0,0,0,0
10034,0,0,-10.616,-204.979,232.823,0,0,0,0
10035,0,0,-10.626000000000001,-204.483,231.942,0,0,0,0
10036,0,0,-10.636,-203.987,231.061,0,0,0,0
10037,0,0,-10.646,-203.491,230.179,0,0,0,0
10038,0,0,-10.655000000000001,-202.995,229.298,0,0,0,0
10039,0,0,-10.665,-202.5,228.417,0,0,0,0
10040,0,0,-10.675,-202.004,227.535,0,0,0,0
10041,0,0,-10.684000000000001,-201.508,226.654,0,0,0,0
10042,0,0,-10.693999999999999,-201.012,225.773,0,0,0,0
10043,0,0,-10.704,-200.516,224.892,0,0,0,0
10044,0,0,-10.714,-200.02,224.01,0,0,0,0
10045,0,0,-10.722999999999999,-199.524,223.129,0,0,0,0
10046,0,0,-10.733,-199.029,222.248,0,0,0,0
10047,0,0,-10.743,-198.533,221.366,0,0,0,0
10048,0,0,-10.751999999999999,-198.037,220.485,0,0,0,0
10049,0,0,-10.762,-197.541,219.604,0,0,0,0
10050,0,0,-10.772,-197.045,218.722,0,0,0,0
10051,0,0,-10.782,-196.549,217.841,0,0,0,0
10052,0,0,-10.791,-196.053,216.96,0,0,0,0
10053,0,0,-10.801,-195.558,216.079,0,0,0,0
10054,0,0,-10.811,-195.062,215.197,0,0,0,0
10055,0,0,-10.82,-194.566,214.316,0,0,0,0
10056,0,0,-10.83,-194.07,213.435,0,0,0,0
10057,0,0,-10.84,-193.574,212.553,0,0,0,0
10058,0,0,-10.85,-193.078,211.672,0,0,0,0
10059,0,0,-10.859,-192.582,210.791,0,0,0,0
10060,0,0,-10.869,-192.086,209.909,0,0,0,0
10061,0,0,-10.879,-191.591,209.028,0,0,0,0
10062,0,0,-10.888,-191.095,208.147,0,0,0,0
10063,0,0,-10.898,-190.599,207.266,0,0,0,0
10064,0,0,-10.908000000000001,-190.103,206.384,0,0,0,0
10065,0,0,-10.918,-189.607,205.503,0,0,0,0
10066,0,0,-10.927,-189.111,204.622,0,0,0,0
10067,0,0,-10.937000000000001,-188.615,203.74,0,0,0,0
10068,0,0,-10.947,-188.12,202.859,0,0,0,0
10069,0,0,-10.956,-187.624,201.978,0,0,0,0
10070,0,0,-10.966000000000001,-187.128,201.096,0,0,0,0
10071,0,0,-10.975999999999999,-186.632,200.215,0,0,0,0
10072,0,0,-10.986,-186.136,199.334,0,0,0,0
10073,0,0,-10.995000000000001,-185.64,198.453,0,0,0,0
10074,0,0,-11.004999999999999,-185.144,197.571,0,0,0,0
10075,0,0,-11.015,-184.649,196.69,0,0,0,0
10076,0,0,-11.024000000000001,-184.153,195.809,0,0,0,0
10077,0,0,-11.033999999999999,-183.657,194.927,0,0,0,0
10078,0,0,-11.044,-183.161,194.046,0,0,0,0
10079,0,0,-11.054,-182.665,193.165,0,0,0,0
10080,0,0,-11.062999999999999,-182.169,192.284,0,0,0,0
10081,0,0,-11.073,-181.673,191.402,0,0,0,0
10082,0,0,-11.083,-181.177,190.521,0,0,0,0
10083,0,0,-11.091999999999999,-180.682,189.64,0,0,0,0
10084,0,0,-11.102,-180.186,188.758,0,0,0,0
10085,0,0,-11.112,-179.69,187.877,0,0,0,0
10086,0,0,-11.122,-179.194,186.996,0,0,0,0
