PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10093,0,0,-17.689999999999998,-175.723,180.827,0,0,0,0
10094,0,0,-17.698999999999998,-175.227,179.945,0,0,0,0
10095,0,0,-17.709,-174.731,179.064,0,0,0,0
10096,0,0,-17.719,-174.235,178.183,0,0,0,0
10097,0,0,-17.729,-173.74,177.302,0,0,0,0
10098,0,0,-17.744,-172.965,176.036,0,0,0,0
10099,0,0,-17.753,-172.407,175.035,0,0,0,0
10100,0,0,-17.811999999999998,-171.698,173.821,0,0,0,0
10101,0,0,-17.82,-171.205,172.943,0,0,0,0
10102,0,0,-17.828,-170.712,172.066,0,0,0,0
10103,0,0,-17.836,-170.22,171.189,0,0,0,0
10104,0,0,-17.844,-169.727,170.312,0,0,0,0
10105,0,0,-17.852,-169.234,169.435,0,0,0,0
10106,0,0,-17.86,-168.742,168.558,0,0,0,0
10107,0,0,-17.869,-168.249,167.681,0,0,0,0
10108,0,0,-17.877000000000002,-167.757,166.804,0,0,0,0
10109,0,0,-17.884999999999998,-167.264,165.927,0,0,0,0
10110,0,0,-17.893,-166.771,165.05,0,0,0,0
10111,0,0,-17.901,-166.279,164.173,0,0,0,0
10112,0,0,-17.909,-165.786,163.296,0,0,0,0
10113,0,0,-17.918,-165.293,162.419,0,0,0,0
10114,0,0,-17.926000000000002,-164.801,161.542,0,0,0,0
10115,0,0,-17.933999999999997,-164.308,160.665,0,0,0,0
10116,0,0,-17.942,-163.816,159.788,0,0,0,0
10117,0,0,-17.95,-163.323,158.911,0,0,0,0
10118,0,0,-17.958,-162.83,158.034,0,0,0,0
10119,0,0,-17.966,-162.338,157.157,0,0,0,0
10120,0,0,-17.975,-161.845,156.28,0,0,0,0
10121,0,0,-17.983,-161.353,155.403,0,0,0,0
10122,0,0,-17.991,-160.86,154.526,0,0,0,0
10123,0,0,-17.999000000000002,-160.367,153.649,0,0,0,0
10124,0,0,-18.006999999999998,-159.875,152.772,0,0,0,0
10125,0,0,-18.015,-159.382,151.895,0,0,0,0
10126,0,0,-18.024,-158.89,151.018,0,0,0,0
10127,0,0,-17.994,-158.393,150.062,0,0,0,0
10128,0,0,-18.016,-157.671,148.743,0,0,0,0
10129,0,0,-18.026,-157.211,147.861,0,0,0,0
10130,0,0,-18.036,-156.633,146.829,0,0,0,0
10131,0,0,-18.046,-156.139,145.952,0,0,0,0
10132,0,0,-18.055999999999997,-155.645,145.075,0,0,0,0
10133,0,0,-18.067,-155.151,144.198,0,0,0,0
10134,0,0,-18.076999999999998,-154.657,143.322,0,0,0,0
10135,0,0,-18.088,-154.163,142.445,0,0,0,0
10136,0,0,-18.098,-153.669,141.568,0,0,0,0
10137,0,0,-18.109,-153.175,140.692,0,0,0,0
10138,0,0,-18.119,-152.681,139.815,0,0,0,0
10139,0,0,-18.128999999999998,-152.187,138.938,0,0,0,0
10140,0,0,-18.14,-151.693,138.062,0,0,0,0
10141,0,0,-18.15,-151.199,137.185,0,0,0,0
10142,0,0,-18.161,-150.705,136.308,0,0,0,0
10143,0,0,-18.171,-150.211,135.432,0,0,0,0
10144,0,0,-18.182000000000002,-149.717,134.555,0,0,0,0
10145,0,0,-18.192,-149.223,133.678,0,0,0,0
10146,0,0,-18.201999999999998,-148.729,132.802,0,0,0,0
10147,0,0,-18.213,-148.235,131.925,0,0,0,0
10148,0,0,-18.223,-147.741,131.048,0,0,0,0
10149,0,0,-18.234,-147.247,130.171,0,0,0,0
10150,0,0,-18.244,-146.753,129.295,0,0,0,0
10151,0,0,-18.253999999999998,-146.259,128.418,0,0,0,0
10152,0,0,-18.265,-145.765,127.541,0,0,0,0
10153,0,0,-18.275,-145.271,126.665,0,0,0,0
10154,0,0,-18.286,-144.777,125.788,0,0,0,0
10155,0,0,-18.296,-144.283,124.911,0,0,0,0
10156,0,0,-18.307000000000002,-143.789,124.035,0,0,0,0
10157,0,0,-18.317,-143.295,123.158,0,0,0,0
10158,0,0,-18.328,-142.802,122.281,0,0,0,0
10159,0,0,-18.338,-142.308,121.405,0,0,0,0
10160,0,0,-18.348,-141.814,120.528,0,0,0,0
10161,0,0,-18.359,-141.32,119.651,0,0,0,0
10162,0,0,-18.369,-140.826,118.775,0,0,0,0
10163,0,0,-18.380000000000003,-140.332,117.898,0,0,0,0
10164,0,0,-18.39,-139.838,117.021,0,0,0,0
10165,0,0,-18.401,-139.344,116.144,0,0,0,0
10166,0,0,-18.411,-138.85,115.268,0,0,0,0
10167,0,0,-18.421,-138.356,114.391,0,0,0,0
10168,0,0,-18.432000000000002,-137.862,113.514,0,0,0,0
10169,0,0,-18.442,-137.368,112.638,0,0,0,0
10170,0,0,-18.453,-136.874,111.761,0,0,0,0
10171,0,0,-18.463,-136.38,110.884,0,0,0,0
10172,0,0,-18.474,-135.886,110.008,0,0,0,0
10173,0,0,-18.484,-135.392,109.131,0,0,0,0
10174,0,0,-18.494,-134.898,108.254,0,0,0,0
10175,0,0,-18.505000000000003,-134.404,107.378,0,0,0,0
10176,0,0,-18.515,-133.91,106.501,0,0,0,0
10177,0,0,-18.526,-133.416,105.624,0,0,0,0
10178,0,0,-18.536,-132.922,104.748,0,0,0,0
10179,0,0,-18.547,-132.428,103.871,0,0,0,0
10180,0,0,-18.557000000000002,-131.934,102.994,0,0,0,0
10181,0,0,-18.567,-131.44,102.117,0,0,0,0
10182,0,0,-18.578,-130.946,101.241,0,0,0,0
10183,0,0,-18.588,-130.452,100.364,0,0,0,0
10184,0,0,-18.599,-129.958,99.487,0,0,0,0
10185,0,0,-18.609,-129.464,98.611,0,0,0,0
10186,0,0,-18.619999999999997,-128.971,97.734,0,0,0,0
10187,0,0,-18.630000000000003,-128.477,96.857,0,0,0,0
10188,0,0,-18.64,-127.983,95.981,0,0,0,0
10189,0,0,-18.651,-127.489,95.104,0,0,0,0
10190,0,0,-18.661,-126.995,94.227,0,0,0,0
10191,0,0,-18.672,-126.501,93.351,0,0,0,0
10192,0,0,-18.682000000000002,-126.007,92.474,0,0,0,0
10193,0,0,-18.692999999999998,-125.513,91.597,0,0,0,0
10194,0,0,-18.703,-125.019,90.721,0,0,0,0
10195,0,0,-18.713,-124.525,89.844,0,0,0,0
10196,0,0,-18.724,-124.031,88.967,0,0,0,0
10197,0,0,-18.734,-123.537,88.09,0,0,0,0
10198,0,0,-18.744999999999997,-123.043,87.214,0,0,0,0
10199,0,0,-18.755000000000003,-122.549,86.337,0,0,0,0
10200,0,0,-18.766,-122.055,85.46,0,0,0,0
10201,0,0,-18.776,-121.561,84.584,0,0,0,0
10202,0,0,-18.786,-121.067,83.707,0,0,0,0
10203,0,0,-18.797,-120.573,82.83,0,0,0,0
10204,0,0,-18.807000000000002,-120.079,81.954,0,0,0,0
10205,0,0,-18.817999999999998,-119.585,81.077,0,0,0,0
10206,0,0,-18.828,-119.091,80.2,0,0,0,0
10207,0,0,-18.839,-118.597,79.324,0,0,0,0
10208,0,0,-18.849,-118.103,78.447,0,0,0,0
10209,0,0,-18.859,-117.609,77.57,0,0,0,0
10210,0,0,-18.869999999999997,-117.115,76.694,0,0,0,0
10211,0,0,-18.880000000000003,-116.621,75.817,0,0,0,0
10212,0,0,-18.891,-116.127,74.94,0,0,0,0
10213,0,0,-18.901,-115.633,74.063,0,0,0,0
10214,0,0,-18.912,-115.14,73.187,0,0,0,0
10215,0,0,-18.922,-114.646,72.31,0,0,0,0
10216,0,0,-18.932000000000002,-114.152,71.433,0,0,0,0
10217,0,0,-18.942999999999998,-113.658,70.557,0,0,0,0
10218,0,0,-18.953,-113.164,69.68,0,0,0,0
10219,0,0,-18.964,-112.67,68.803,0,0,0,0
10220,0,0,-18.974,-112.176,67.927,0,0,0,0
10221,0,0,-18.985,-111.682,67.05,0,0,0,0
10222,0,0,-18.994999999999997,-111.188,66.173,0,0,0,0
10223,0,0,-19.005000000000003,-110.694,65.297,0,0,0,0
10224,0,0,-19.016,-110.2,64.42,0,0,0,0
10225,0,0,-19.026,-109.706,63.543,0,0,0,0
10226,0,0,-19.037,-109.212,62.667,0,0,0,0
10227,0,0,-19.047,-108.718,61.79,0,0,0,0
10228,0,0,-19.058,-108.224,60.913,0,0,0,0
10229,0,0,-19.067999999999998,-107.73,60.036,0,0,0,0
10230,0,0,-19.078,-107.236,59.16,0,0,0,0
10231,0,0,-19.089,-106.742,58.283,0,0,0,0
10232,0,0,-19.099,-106.248,57.406,0,0,0,0
10233,0,0,-19.11,-105.754,56.53,0,0,0,0
10234,0,0,-19.119999999999997,-105.26,55.653,0,0,0,0
10235,0,0,-19.131,-104.766,54.776,0,0,0,0
10236,0,0,-19.141,-104.272,53.9,0,0,0,0
10237,0,0,-19.151,-103.778,53.023,0,0,0,0
10238,0,0,-19.162,-103.284,52.146,0,0,0,0
10239,0,0,-19.172,-102.79,51.27,0,0,0,0
10240,0,0,-19.183,-102.296,50.393,0,0,0,0
10241,0,0,-19.192999999999998,-101.802,49.516,0,0,0,0
10242,0,0,-19.204,-101.309,48.64,0,0,0,0
10243,0,0,-19.219,-100.584,47.286,0,0,0,0
10244,0,0,-19.228,-100.137,46.363,0,0,0,0
10245,0,0,-19.236,-99.69,45.44,0,0,0,0
10246,0,0,-19.244,-99.243,44.518,0,0,0,0
10247,0,0,-19.252000000000002,-98.796,43.596,0,0,0,0
10248,0,0,-19.259999999999998,-98.349,42.673,0,0,0,0
10249,0,0,-19.268,-97.902,41.751,0,0,0,0
10250,0,0,-19.276,-97.455,40.829,0,0,0,0
10251,0,0,-19.284,-97.009,39.906,0,0,0,0
10252,0,0,-19.292,-96.562,38.984,0,0,0,0
10253,0,0,-19.3,-96.115,38.062,0,0,0,0
10254,0,0,-19.308,-95.668,37.14,0,0,0,0
10255,0,0,-19.316000000000003,-95.221,36.217,0,0,0,0
10256,0,0,-19.323999999999998,-94.774,35.295,0,0,0,0
10257,0,0,-19.332,-94.328,34.373,0,0,0,0
10258,0,0,-19.34,-93.881,33.45,0,0,0,0
10259,0,0,-19.348,-93.434,32.528,0,0,0,0
10260,0,0,-19.356,-92.987,31.606,0,0,0,0
10261,0,0,-19.364,-92.54,30.683,0,0,0,0
10262,0,0,-19.372,-92.093,29.761,0,0,0,0
10263,0,0,-19.380000000000003,-91.647,28.839,0,0,0,0
10264,0,0,-19.387999999999998,-91.2,27.917,0,0,0,0
10265,0,0,-19.396,-90.753,26.994,0,0,0,0
10266,0,0,-19.404,-90.306,26.072,0,0,0,0
10267,0,0,-19.412,-89.859,25.15,0,0,0,0
10268,0,0,-19.42,-89.412,24.227,0,0,0,0
10269,0,0,-19.428,-88.966,23.305,0,0,0,0
10270,0,0,-19.436,-88.519,22.383,0,0,0,0
10271,0,0,-19.444000000000003,-88.072,21.46,0,0,0,0
10272,0,0,-19.451999999999998,-87.625,20.538,0,0,0,0
10273,0,0,-19.46,-87.178,19.616,0,0,0,0
10274,0,0,-19.468,-86.731,18.694,0,0,0,0
10275,0,0,-19.476,-86.285,17.771,0,0,0,0
10276,0,0,-19.484,-85.838,16.849,0,0,0,0
10277,0,0,-19.492,-85.391,15.927,0,0,0,0
10278,0,0,-19.5,-84.944,15.004,0,0,0,0
10279,0,0,-19.508,-84.497,14.082,0,0,0,0
10280,0,0,-19.516,-84.05,13.16,0,0,0,0
10281,0,0,-19.525,-83.604,12.238,0,0,0,0
10282,0,0,-19.533,-83.049,10.829,0,0,0,0
10283,0,0,-19.543,-82.494,9.421,0,0,0,0
10284,0,0,-19.557000000000002,-81.395,6.653,0,0,0,0
10285,0,0,-19.561999999999998,-80.819,5.203,0,0,0,0
10286,0,0,-19.57,-80.299,3.777,0,0,0,0
10287,0,0,-19.58,-79.779,2.351,0,0,0,0
10288,0,0,-19.586,-79.285,0.919,0,0,0,0
10289,0,0,-19.596,-78.789,-0.51,0,0,0,0
10290,0,0,-19.604,-78.12,-2.526,0,0,0,0
10291,0,0,-19.608,-77.649,-3.967,0,0,0,0
10292,0,0,-19.618000000000002,-76.65,-7.306,0,0,0,0
10293,0,0,-19.622999999999998,-76.071,-9.246,0,0,0,0
10294,0,0,-19.625999999999998,-75.66,-10.701,0,0,0,0
10295,0,0,-19.631,-75.249,-12.155,0,0,0,0
10296,0,0,-19.628,-74.838,-13.986,0,0,0,0
10297,0,0,-19.622999999999998,-74.508,-15.531,0,0,0,0
10298,0,0,-19.615000000000002,-73.892,-19.259,0,0,0,0
10299,0,0,-19.61,-73.698,-20.799,0,0,0,0
10300,0,0,-19.605,-73.504,-22.338,0,0,0,0
10301,0,0,-19.594,-73.261,-24.859,0,0,0,0
10302,0,0,-19.584,-73.035,-27.827,0,0,0,0
10303,0,0,-19.578,-72.988,-28.852,0,0,0,0
10304,0,0,-19.148,-72.946,-29.789,0,0,0,0
10305,0,0,-18.718,-72.904,-30.726,0,0,0,0
10306,0,0,-18.289,-72.862,-31.663,0,0,0,0
10307,0,0,-17.859,-72.821,-32.601,0,0,0,0
10308,0,0,-17.43,-72.779,-33.538,0,0,0,0
10309,0,0,-17.0,-72.737,-34.475,0,0,0,0
10310,0,0,-16.570999999999998,-72.696,-35.412,0,0,0,0
10311,0,0,-16.141,-72.654,-36.35,0,0,0,0
10312,0,0,-15.712,-72.612,-37.287,0,0,0,0
10313,0,0,-15.282,-72.571,-38.224,0,0,0,0
10314,0,0,-14.853,-72.529,-39.161,0,0,0,0
10315,0,0,-14.423,-72.487,-40.099,0,0,0,0
10316,0,0,-13.994,-72.446,-41.036,0,0,0,0
10317,0,0,-13.564,-72.404,-41.973,0,0,0,0
10318,0,0,-13.134,-72.362,-42.91,0,0,0,0
10319,0,0,-12.705,-72.32,-43.848,0,0,0,0
10320,0,0,-12.275,-72.279,-44.785,0,0,0,0
10321,0,0,-11.846,-72.237,-45.722,0,0,0,0
10322,0,0,-11.416,-72.195,-46.659,0,0,0,0
10323,0,0,-10.987,-72.154,-47.597,0,0,0,0
10324,0,0,-10.557,-72.112,-48.534,0,0,0,0
10325,0,0,-10.128,-72.07,-49.471,0,0,0,0
10326,0,0,-9.698,-72.029,-50.408,0,0,0,0
10327,0,0,-9.269,-71.987,-51.346,0,0,0,0
10328,0,0,-8.839,-71.945,-52.283,0,0,0,0
10329,0,0,-8.41,-71.904,-53.22,0,0,0,0
10330,0,0,-7.98,-71.862,-54.157,0,0,0,0
10331,0,0,-7.551,-71.82,-55.095,0,0,0,0
10332,0,0,-7.121,-71.778,-56.032,0,0,0,0
10333,0,0,-6.691,-71.737,-56.969,0,0,0,0
10334,0,0,-6.263,-71.695,-57.906,0,0,0,0
10335,0,0,-6.265,-71.595,-59.371,0,0,0,0
10336,0,0,-6.268,-71.535,-60.36,0,0,0,0
10337,0,0,-6.266,-71.414,-61.826,0,0,0,0
10338,0,0,-6.265,-71.302,-62.824,0,0,0,0
10339,0,0,-6.264,-71.19,-63.822,0,0,0,0
10340,0,0,-6.263,-71.077,-64.82,0,0,0,0
10341,0,0,-6.263,-70.965,-65.819,0,0,0,0
10342,0,0,-6.2620000000000005,-70.853,-66.817,0,0,0,0
10343,0,0,-6.261,-70.741,-67.815,0,0,0,0
10344,0,0,-6.26,-70.629,-68.813,0,0,0,0
10345,0,0,-6.259,-70.516,-69.811,0,0,0,0
10346,0,0,-6.259,-70.404,-70.809,0,0,0,0
10347,0,0,-6.258,-70.292,-71.807,0,0,0,0
10348,0,0,-6.257,-70.18,-72.805,0,0,0,0
10349,0,0,-6.256,-70.068,-73.803,0,0,0,0
10350,0,0,-6.255,-69.956,-74.801,0,0,0,0
10351,0,0,-6.255,-69.843,-75.799,0,0,0,0
10352,0,0,-6.254,-69.731,-76.797,0,0,0,0
10353,0,0,-6.253,-69.619,-77.795,0,0,0,0
10354,0,0,-6.252,-69.507,-78.793,0,0,0,0
10355,0,0,-6.251,-69.395,-79.791,0,0,0,0
10356,0,0,-6.25,-69.282,-80.789,0,0,0,0
10357,0,0,-6.25,-69.17,-81.787,0,0,0,0
10358,0,0,-6.249,-69.058,-82.785,0,0,0,0
