PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
109,0,0,-22.973,-120.767,1364.808,0,0,0,0
110,0,0,-22.99,-121.763,1364.974,0,0,0,0
111,0,0,-23.006,-122.758,1365.14,0,0,0,0
112,0,0,-23.023,-123.754,1365.306,0,0,0,0
113,0,0,-23.039,-124.749,1365.472,0,0,0,0
114,0,0,-23.056,-125.745,1365.638,0,0,0,0
115,0,0,-23.072,-126.74,1365.804,0,0,0,0
116,0,0,-23.089,-127.736,1365.97,0,0,0,0
117,0,0,-23.105,-128.731,1366.136,0,0,0,0
118,0,0,-23.122,-129.726,1366.301,0,0,0,0
119,0,0,-23.139,-130.722,1366.467,0,0,0,0
120,0,0,-23.155,-131.717,1366.633,0,0,0,0
121,0,0,-23.172,-132.713,1366.799,0,0,0,0
122,0,0,-23.188,-133.708,1366.965,0,0,0,0
123,0,0,-23.205,-134.704,1367.131,0,0,0,0
124,0,0,-23.221,-135.699,1367.297,0,0,0,0
125,0,0,-23.238,-136.695,1367.463,0,0,0,0
126,0,0,-23.254,-137.69,1367.629,0,0,0,0
127,0,0,-23.271,-138.686,1367.795,0,0,0,0
128,0,0,-23.288,-139.681,1367.961,0,0,0,0
129,0,0,-23.304,-140.677,1368.126,0,0,0,0
130,0,0,-23.321,-141.672,1368.292,0,0,0,0
131,0,0,-23.337,-142.668,1368.458,0,0,0,0
132,0,0,-23.354,-143.663,1368.624,0,0,0,0
133,0,0,-23.37,-144.659,1368.79,0,0,0,0
134,0,0,-23.387,-145.654,1368.956,0,0,0,0
135,0,0,-23.403,-146.65,1369.122,0,0,0,0
136,0,0,-23.42,-147.645,1369.288,0,0,0,0
137,0,0,-23.437,-148.64,1369.454,0,0,0,0
138,0,0,-23.453,-149.636,1369.62,0,0,0,0
139,0,0,-23.47,-150.631,1369.785,0,0,0,0
140,0,0,-23.486,-151.627,1369.951,0,0,0,0
141,0,0,-23.503,-152.622,1370.117,0,0,0,0
142,0,0,-23.519,-153.618,1370.283,0,0,0,0
143,0,0,-23.536,-154.613,1370.449,0,0,0,0
144,0,0,-23.557,-155.873,1370.642,0,0,0,0
145,0,0,-23.576,-157.035,1370.837,0,0,0,0
146,0,0,-23.593,-158.081,1371.013,0,0,0,0
147,0,0,-23.623,-159.849,1371.311,0,0,0,0
148,0,0,-23.659,-162.065,1371.666,0,0,0,0
149,0,0,-23.696,-164.281,1372.021,0,0,0,0
150,0,0,-23.74,-166.948,1372.459,0,0,0,0
151,0,0,-23.759,-168.06,1372.643,0,0,0,0
152,0,0,-23.79,-169.953,1372.956,0,0,0,0
153,0,0,-23.829,-172.271,1373.341,0,0,0,0
154,0,0,-23.874,-174.982,1373.79,0,0,0,0
155,0,0,-23.893,-176.124,1373.979,0,0,0,0
156,0,0,-23.936,-175.707,1377.315,0,0,0,0
157,0,0,-23.92,-174.718,1377.146,0,0,0,0
158,0,0,-23.903,-173.729,1376.977,0,0,0,0
159,0,0,-23.887,-172.739,1376.808,0,0,0,0
160,0,0,-23.87,-171.75,1376.639,0,0,0,0
161,0,0,-23.854,-170.761,1376.469,0,0,0,0
162,0,0,-23.837,-169.772,1376.3,0,0,0,0
163,0,0,-23.821,-168.783,1376.131,0,0,0,0
164,0,0,-23.804,-167.793,1375.962,0,0,0,0
165,0,0,-23.788,-166.804,1375.793,0,0,0,0
166,0,0,-23.771,-165.815,1375.624,0,0,0,0
167,0,0,-23.755,-164.826,1375.455,0,0,0,0
168,0,0,-23.738,-163.837,1375.285,0,0,0,0
169,0,0,-23.722,-162.847,1375.116,0,0,0,0
170,0,0,-23.705,-161.858,1374.947,0,0,0,0
171,0,0,-23.688,-160.869,1374.778,0,0,0,0
172,0,0,-23.672,-159.88,1374.609,0,0,0,0
173,0,0,-23.655,-158.891,1374.44,0,0,0,0
174,0,0,-23.639,-157.901,1374.271,0,0,0,0
175,0,0,-23.622,-156.912,1374.101,0,0,0,0
176,0,0,-23.606,-155.923,1373.932,0,0,0,0
