PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-16.27,0.991,-443.873,0,0,0,0
2,0,0,-16.303,0.985,-442.64,0,0,0,0
3,0,0,-16.345,0.963,-441.469,0,0,0,0
4,0,0,-16.331,0.958,-440.209,0,0,0,0
5,0,0,-16.349,0.947,-438.834,0,0,0,0
6,0,0,-16.339,0.942,-437.543,0,0,0,0
7,0,0,-16.372,0.921,-436.12,0,0,0,0
8,0,0,-16.405,0.923,-434.678,0,0,0,0
9,0,0,-16.415,0.929,-433.282,0,0,0,0
10,0,0,-16.435000000000002,0.905,-431.829,0,0,0,0
11,0,0,-16.458,0.908,-430.383,0,0,0,0
12,0,0,-16.466,0.89,-428.929,0,0,0,0
13,0,0,-16.481,0.879,-427.896,0,0,0,0
14,0,0,-16.496000000000002,0.868,-426.863,0,0,0,0
15,0,0,-16.512,0.857,-425.83,0,0,0,0
16,0,0,-16.527,0.846,-424.797,0,0,0,0
17,0,0,-16.542,0.835,-423.765,0,0,0,0
18,0,0,-16.558,0.824,-422.732,0,0,0,0
19,0,0,-16.573,0.813,-421.699,0,0,0,0
20,0,0,-16.588,0.803,-420.666,0,0,0,0
21,0,0,-16.604,0.792,-419.633,0,0,0,0
22,0,0,-16.619,0.781,-418.601,0,0,0,0
23,0,0,-16.634,0.77,-417.568,0,0,0,0
24,0,0,-16.65,0.759,-416.535,0,0,0,0
25,0,0,-16.665,0.748,-415.502,0,0,0,0
26,0,0,-16.68,0.737,-414.469,0,0,0,0
27,0,0,-16.695999999999998,0.727,-413.437,0,0,0,0
28,0,0,-16.7,0.752,-412.413,0,0,0,0
29,0,0,-16.708,0.733,-411.389,0,0,0,0
30,0,0,-16.732,0.713,-410.34,0,0,0,0
31,0,0,-16.741,0.708,-409.323,0,0,0,0
32,0,0,-16.758,0.704,-408.304,0,0,0,0
33,0,0,-16.79,0.709,-407.278,0,0,0,0
34,0,0,-16.808999999999997,0.7,-406.247,0,0,0,0
35,0,0,-16.808999999999997,0.701,-405.199,0,0,0,0
36,0,0,-16.82,0.687,-404.19,0,0,0,0
37,0,0,-16.851,0.664,-403.09,0,0,0,0
38,0,0,-16.853,0.66,-402.028,0,0,0,0
39,0,0,-16.878999999999998,0.676,-400.983,0,0,0,0
40,0,0,-16.905,0.66,-399.954,0,0,0,0
41,0,0,-16.895,0.664,-398.939,0,0,0,0
42,0,0,-16.908,0.662,-397.435,0,0,0,0
43,0,0,-16.928,0.665,-396.422,0,0,0,0
44,0,0,-16.91,0.688,-395.407,0,0,0,0
45,0,0,-16.933,0.666,-394.391,0,0,0,0
46,0,0,-16.925,0.683,-393.389,0,0,0,0
47,0,0,-16.969,0.661,-392.319,0,0,0,0
48,0,0,-16.999000000000002,0.655,-391.286,0,0,0,0
49,0,0,-16.989,0.643,-390.248,0,0,0,0
50,0,0,-16.994,0.657,-389.15,0,0,0,0
51,0,0,-17.018,0.642,-388.083,0,0,0,0
52,0,0,-17.035,0.647,-387.019,0,0,0,0
53,0,0,-17.055999999999997,0.628,-385.965,0,0,0,0
54,0,0,-17.057000000000002,0.627,-384.886,0,0,0,0
55,0,0,-17.08,0.593,-383.837,0,0,0,0
56,0,0,-17.08,0.584,-382.777,0,0,0,0
57,0,0,-17.083,0.581,-381.665,0,0,0,0
58,0,0,-17.128999999999998,0.559,-380.564,0,0,0,0
59,0,0,-17.131,0.542,-379.45,0,0,0,0
60,0,0,-17.134,0.547,-378.358,0,0,0,0
61,0,0,-17.158,0.537,-377.234,0,0,0,0
62,0,0,-17.186,0.514,-376.075,0,0,0,0
63,0,0,-17.186,0.524,-374.959,0,0,0,0
64,0,0,-17.208,0.494,-373.827,0,0,0,0
65,0,0,-17.221,0.508,-372.672,0,0,0,0
66,0,0,-17.256,0.503,-371.495,0,0,0,0
67,0,0,-17.253,0.492,-370.321,0,0,0,0
68,0,0,-17.273,0.496,-369.197,0,0,0,0
69,0,0,-17.29,0.491,-367.978,0,0,0,0
